generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
2,330.22,168,,,,,,,1,74,193,,
2,330.11,166,,,,,,,1,74,193,,
2,330.23,166,,,,,,,1,74,193,,
0,331,25,72,122,122,122,,,,74,193,,
1,331.1,122,,,,,123,,,74,193,,
1,331.2,122,,,,,123,,,74,193,,
0,332,20,41,75,75,75,,,,74,193,,
1,332.1,75,98,,,,111,,,74,193,,
1,332.2,75,100,,,,124,,,74,193,,
0,333,43,51,106,106,106,,,,74,193,,
1,333.1,106,,,,,112,,,74,193,,
1,333.2,106,,,,,113,,,74,193,,
0,342,26,61,89,89,89,,,1,74,193,28.8 m,16
1,342.1,89,120,157,157,157,,,1,74,193,,
1,342.2,89,119,154,154,154,,,1,74,193,,
2,342.21,154,178,,,,,,1,74,193,,
2,342.22,154,188,,,,,,1,74,193,,
2,342.11,157,,,,,174,,1,74,193,,
2,342.12,157,,,,,174,,1,74,193,,
0,343,25,63,114,114,114,,,,74,193,,
1,343.1,114,,,,,137,,,74,193,,
1,343.2,114,,,,,139,,,74,193,,
0,344,24,73,110,110,110,,,,74,193,,
1,344.1,110,128,,,,146,,,74,193,,
1,344.2,110,132,,,,150,,,74,193,,
0,358,10,33,79,79,79,,,,74,193,28.8 m,17
1,358.1,79,100,,,,115,,,74,193,,
1,358.2,79,107,,,,148,,,74,193,,
0,359,,23,84,84,84,,,1,74,193,,
1,359.1,84,113,155,155,155,,,1,74,193,,
1,359.2,84,113,155,155,155,,,1,74,193,,
2,359.11,155,,,,,173,,1,74,193,,
2,359.12,155,,,,,173,,1,74,193,,
2,359.21,155,,,,,,,1,74,193,,
2,359.22,155,,,,,,,1,74,193,,
0,360,,31,,,,112,,,74,193,,
0,361,31,67,108,108,108,,,,74,193,,
1,361.1,108,,,,,134,,,74,193,,
1,361.2,108,,,,,136,,,74,193,,
0,362,31,62,99,99,99,,,1,74,193,,
1,362.1,99,131,173,173,173,,,1,74,193,,
1,362.2,99,151,167,167,167,,,1,74,193,,
2,362.21,167,,,,,179,,1,74,193,,
2,362.22,167,,,,,,,1,74,193,,
2,362.11,173,,,,,189,,1,74,193,,
2,362.12,173,,,,,,,1,74,193,,
0,363,10,36,79,79,79,,,0.5,74,193,,
1,363.1,79,,,,,97,,,74,193,,
1,363.2,79,133,177,177,177,,,1,74,193,,
2,363.21,177,,,,,,,1,74,193,,
2,363.22,177,,,,,,,1,74,193,,
0,364,,70,107,107,107,,,,74,193,,
1,364.1,107,135,,,,142,,,74,193,,
1,364.2,107,136,,,,153,,,74,193,,
0,365,,69,117,117,117,,,,74,193,,
1,365.1,117,,,,,137,,,74,193,,
1,365.2,117,,,,,141,,,74,193,,
0,366,35,67,115,115,115,,,0.5,74,193,,
1,366.1,115,144,,,,153,,,74,193,,
1,366.2,115,,,,,172,,1,74,193,,
0,367,45,68,111,111,111,,,,74,193,,
1,367.1,111,,,,,133,,,74,193,,
1,367.2,111,,,,,133,,,74,193,,
0,368,45,70,111,111,111,,,0.5,74,193,,
1,368.1,111,,,,,172,,1,74,193,,
1,368.2,111,,,,,134,,,74,193,,
0,369,29,51,88,88,88,,,,74,193,,
1,369.1,88,,,,,115,,,74,193,,
1,369.2,88,,,,,115,,,74,193,,
0,370,48,69,121,121,121,,,1,74,193,,
1,370.1,121,181,,,,,,1,74,193,,
1,370.2,121,147,,,,,,1,74,193,,
0,371,27,52,91,91,91,,,0.5,74,193,,
1,371.1,91,111,,,,154,,,74,193,,
1,371.2,91,111,157,157,157,,,1,74,193,,
2,371.21,157,,,,,177,,1,74,193,,
2,371.22,157,,,,,182,,1,74,193,,
0,372,39,71,114,114,114,,,,74,193,,
1,372.1,114,,,,,130,,,74,193,,
1,372.2,114,,,,,131,,,74,193,,
0,373,35,56,91,91,91,,,,74,193,,
1,373.1,91,,,,,107,,,74,193,,
1,373.2,91,,,,,107,,,74,193,,
0,374,33,57,98,98,98,,,,74,193,,
1,374.1,98,,,,,111,,,74,193,,
1,374.2,98,,,,,111,,,74,193,,
0,375,,66,,,,115,,,74,193,,
0,376,,67,152,152,152,,,1,74,193,,
1,376.1,152,,,,,,,1,74,193,,
